Article Title,Author,Journal Title,Publication Date,Publisher,Subjects,Keywords,text
BERDYMUKHAMMEDOV'S TURKMENISTAN.,"Peyrouse, Sebastien",Journal of Central Asian Studies,2010,Centre of Central Asian Studies,"INTERNATIONAL relations; FOREIGN business enterprises; GOVERNMENT policy; CORRUPTION; TURKMENISTAN; BERDIMUHAMEDOW, Gurbanguly, 1957-; TURKMENBASHY, Saparmyrat, 1940-2006",Domestic Politics; Education; Food Security; Gurbanguly Berdymukhammedov; Health; Media; Turkmenistan,"While Gurbanguly Berdymukhammedov seeks to reintegrate Turkmenistan on the international and regional levels and attempts to establish new partnerships with foreign companies to accelerate investments, domestic policy seems a poor reflection of the regime's evolution. The authorities' attention is focused on social issues totally neglected by the regime of Saparmurat Niyazov. New schools were built, provincial hospitals have reopened, roads and railways are improving, land reforms, however small, are welcomed, and a modest decentralization has emerged. However, the general social situation remains tense: a total absence of public liberty, violations of religious rights, mostly unacknowledged massive unemployment, a loss of confidence of the middle classes, whose educational and professional opportunities have been reduced, increasing corruption of state organs, and rural poverty influenced by the social problems of recent years. Yet, the main long-term problem probably remains the country's lack of human capital, which was destroyed in recent decades and needs time to be restored. [ABSTRACT FROM AUTHOR] Copyright of Journal of Central Asian Studies is the property of Centre of Central Asian Studies and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
"Between the Eagle and the Dragon: America, China, and Middle State Strategies in East Asia.","Ikenberry, G. John",Political Science Quarterly (Wiley-Blackwell),16-Mar,Wiley-Blackwell,NATIONAL security; INTERNATIONAL solidarity; ALLIANCES (International relations); BALANCE of power; INTERNATIONAL cooperation; INTERNATIONAL trade; INTERNATIONAL economic relations; JAPAN; SOUTH Korea; UNITED States; UNITED States -- Foreign economic relations,,"The article explores on the role of the U.S. in shaping the East Asian order around American military and economic dominance. It states that the U.S. system provides security, political partnerships, underwriting stability and alliances with Japan, South Korea and other partners across Asia. It stresses the rise of Chinese economic and military capabilities with explicit balance of power dynamic in multilateral trade and cooperation. It also notes that the American-led alliance system deepened the economic and security ties with the regions."
Beyond Balancing and Bandwagoning: Thailand's Response to China's Rise.,"Murphy, Ann Marie",Asian Security,Jan-Apr2010,Taylor & Francis Ltd,INTERNATIONAL relations; NATIONAL security; CHINA; THAILAND; BUSINESS partnerships,,"This article examines Thailand's response to China's rise. Contrary to predictions made by power transition theories that states respond to rising powers by balancing against or bandwagoning with them, Thailand has reacted to China's rise with no fundamental change in its alignment posture. Thailand sees little threat but much opportunity in China's rise. Thailand is clearly not balancing; it has taken few measures to enhance its military capability or strengthen its alliance with the United States. This article argues that Thai policy can be classified as bandwagoning only under definitions that cannot be distinguished from foreign policy writ large. The policy implications of these findings are that the United States should not to take access to Thai bases or Thai support for a balancing coalition against China for granted. [ABSTRACT FROM AUTHOR] Copyright of Asian Security is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Beyond Cricket: Australia-India Evolving Relations.,"Mayer, Peter; Jain, Purnendra",Australian Journal of Political Science,10-Mar,Taylor & Francis Ltd,DIPLOMACY; INTERNATIONAL economic relations; AUSTRALIA; INDIA; AUSTRALIA -- Foreign relations -- 1945-; INDIA -- Foreign relations -- 1984-; URANIUM industry; AUSTRALIA -- Politics & government -- 1945-,,"Australia's relationship with India stands in apparent contrast with its relations elsewhere in Asia. Most accounts of Australia's links to India liken them to recurrent bouts of amnesia, arguing that Australia has not put the same efforts into engaging with India that it has into fostering ties with Japan, China and Indonesia and that, like a patient with injury to the hippocampus who has lost the ability to lay down long-term memories, Australia appears to approach each episodic moment of contact without recollection of the past. Australia's relationship with India has passed through distinct phases, from a brief moment of warmth in the years immediately after India achieved independence, through frosty decades of the Cold War. In contrast to many other accounts, the paper argues that since the 1980s Australia has sought with considerable consistency to engage with India and that the tenuousness of the relationship is primarily due to Indian indifference. Recent bilateral issues, including the supply of uranium to India and attacks on Indian students, have led to an enlargement of contacts which may signify that the engagement is at last becoming a mutual one. [ABSTRACT FROM AUTHOR] Copyright of Australian Journal of Political Science is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Beyond Identity and Domestic Politics: Stability in South Korea-Japan Relations.,"Singh, Bhubhindar",Korean Journal of Defense Analysis,15-Mar,Korea Institute for Defense Analyses,INTERNATIONAL relations; INTERNATIONAL cooperation; NATIONAL security; JAPAN -- Relations -- Korea (South); UNCERTAINTY,China; Japan; North Korea; security; South Korea,"South Korea and Japan have experienced their worst deterioration of bilateral relations since 2012. What are the long-term prospects for this relationship? Will it continue on this negative trajectory or recover positively in the long term? Challenging the conventional view that supports the former conclusion, this paper argues for a positive outlook for the relationship in the long term. This is defended from a structural perspective relying on two long-term strategic trends for Northeast/ East Asia--the elevated uncertainty in the regional environment (due to North Korea and China's strategic rise); and the rising strain on the U.S. military presence in both countries. In response to these structural pressures, South Korea and Japan will adapt and adopt strategies to defend their national security within a reformed U.S. alliance structure and strengthen strategic cooperation through bilateral and trilateral (with the United States) means. [ABSTRACT FROM AUTHOR] Copyright of Korean Journal of Defense Analysis is the property of Korea Institute for Defense Analyses and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Beyond Power Politics: institution-building and Mainland China's Taiwan policy transition.,"Xin, Qiang",Journal of Contemporary China,10-Jun,Taylor & Francis Ltd,"INTERNATIONAL relations; DIPLOMACY; POLITICAL doctrines; POLITICAL development; INTERNATIONAL economic relations; COOPERATION; REALPOLITIK; ECONOMIC policy; CHINA; TAIWAN; CHINA-Taiwan relations; CHINA -- Politics & government -- 2002-; 2000-; HU, Jintao, 1942-",,"Facing the ever-growing interdependence across the Taiwan Strait, Mainland China's strategy towards Taiwan is undergoing a profound change, that is, transcending the staunch realpolitik mentality and turning to an institutional arrangement in policy making. Especially since President Hu Jintao took up his position, the Mainland has endeavored to improve cross-Strait relations through the institutionalization of a series of sensitive issues, such as the proposals and signatures of some long-term accords aiming to advocate economic cooperation, promote social exchanges, weaken political opposition and foster mutual trust. By taking the Mainland's national development strategy shift, Taiwan's domestic reality and 'institution deficit' in cross-Strait relations into consideration, this paper analyzes the reasons, efforts and features of the Mainland's recent institutional-orientated policy transition. [ABSTRACT FROM AUTHOR] Copyright of Journal of Contemporary China is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Beyond the Four Percent Solution: explaining the consequences of China's rise.,"Gilley, Bruce",Journal of Contemporary China,11-Nov,Taylor & Francis Ltd,POLITICAL development; POWER (Social sciences); GREAT powers (International relations); WORLD politics -- 1989-; GEOPOLITICS; PEACE; MILITARISM; BALANCE of power; INTERNATIONAL relations; CHINA; CHINA -- Politics & government -- 2002-; CHINA -- Politics & government -- 1976-2002,,"Debates about the consequences of China's rise have focused mainly on China's foreign policy in security affairs and have been offered mostly within a realist framework; yet this limited approach to the problem ignores non-security issues, non-realist frameworks, and non-China sources of system-level outcomes. Policy-makers and scholars should significantly broaden their descriptive and explanatory frameworks in order to understand the consequences of a rising China. Using this broader approach will direct attention to systemic and ideational factors in explaining whether China's rise is peaceful or not. [ABSTRACT FROM AUTHOR] Copyright of Journal of Contemporary China is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Beyond win-win: rethinking China's international relationships in an era of economic uncertainty.,"WOMACK, BRANTLY",International Affairs,13-Jul,Oxford University Press / USA,"INTERNATIONAL relations; WORLD politics; INTERNATIONAL economic relations; REFORMS; ECONOMICS; ECONOMIC development; GROSS domestic product; GOVERNMENT business enterprises; FOREIGN investments; DIPLOMACY; IMPERIALISM; GREAT powers (International relations); ASIA; CHINA; SOUTH China Sea; UNITED States; INTERNATIONAL Monetary Fund; UNCERTAINTY; CHINA -- Foreign relations -- 21st century; CULTURAL Revolution, China, 1966-1969; PURCHASING power parity; DENG, Xiaoping, 1904-1997",,"China is the least disadvantaged major economy in the current era of global economic uncertainty. Thus it is becoming the focus of attention of its neighbours and is achieving a prominence in the world political economy unparalleled in its modern history. To a great extent, China's success is the result of 'good neighbour diplomacy' such as 'win-win' and the policies of reform and openness of the past thirty years. However, despite continuity in policy, China's 'peaceful leap forward' since 2008 has changed the context of its external relationships. The increasing asymmetries between China and its neighbours, as well as decreasing asymmetry with the United States, require an adjustment of win-win values beyond mutual benefit to credible reassurance. As China's neighbours become more dependent, they also become more anxious concerning their interests. Meanwhile, China's relative gain on the US requires a different kind of confidence-building diplomacy. [ABSTRACT FROM AUTHOR] Copyright of International Affairs is the property of Oxford University Press / USA and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Bhutan's Foreign Policy Determinants: An Assessment.,"Bisht, Medha",Strategic Analysis,12-Jan,Taylor & Francis Ltd,INTERNATIONAL relations; NATIONAL security; POLITICAL culture; INDIA; NEPAL; BHUTAN,,"This article assesses the shifting preferences of Bhutan towards the foreign policy determinants. Three determinants (national security, political culture and economic engagement) have been studied as they play a significant role in shaping Bhutan's policy behaviour. These determinants have been analysed with respect to India, Nepal and China, three countries that have been of critical interest to Bhutan's foreign policy. The main argument of the paper is that when security threats are high or medium, protecting territorial integrity, sovereignty and political culture shapes Bhutan's foreign policy and, alternatively, when security threats are low, economic opportunities determine Bhutan's foreign policy choices. [ABSTRACT FROM PUBLISHER] Copyright of Strategic Analysis is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
BLIND MEN AND AN ELEPHANT: HOW THE INDIAN AND CHINESE PRESS COVER MYANMAR.,"Fraioli, Paul",Journal of International Affairs,Spring/Summer2011,Journal of International Affairs,PRESS & politics; HISTORY; PRESS; INTERNATIONAL relations; POLITICAL prisoners; CHINA; BURMA; INDIA; CHINA -- Politics & government -- 2002-; INDIA -- Politics & government -- 1977-; TWENTY-first century,,"The objective of this paper is to examine how patterns of Indian and Chinese reporting on Myanmar reflect the political climates of each country. A sample of 94 articles from Indian sources and 106 articles from Xinhua News Agency (English) was examined using content-analysis techniques. Then is a clear divergence in the topics covered by the Indian and Chinese media during the time period reviewed, 3 November to 17 November 2010, which was selected to coincide with Myanmar's first nationwide elections in twenty years as well as the release of political prisoner Aung San Suu Kyi from house arrest. The Indian press provided more coverage of Suu Kyi's release and of Myanmar political affairs than the Chinese press, but neither India nor China covered Suu Kyi's activities in the days following her release. The Chinese press provided more coverage of economic affairs and the Myawaddy border crisis, which the Indian press ignored. Surprisingly, the press in non-democratic China attentively chronicled and promoted Myanmar's elections while the press in democratic India had very little to say about them. This suggests that on these issues, the press focus on what they perceive to be in tile national interest of their respective countries. [ABSTRACT FROM AUTHOR] Copyright of Journal of International Affairs is the property of Journal of International Affairs and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Blowing from the East.,"Szunomár, Ágnes",International Issues & Slovak Foreign Policy Affairs,2015,Research Center of the Slovak Foreign Policy Association,INTERNATIONAL economic relations; INTERNATIONAL economic integration; CENTRAL Europe; EASTERN Europe -- Foreign economic relations; CHINA -- Foreign economic relations,,"China is increasingly perceived in Central and Eastern Europe as a country which could bring economic success to the countries of the region through the development of trade relations and the growing inflow of Chinese investment. Within the region, Hungary is regarded as occupying a prominent position by Chinese people and the government for several reasons. Chinese relations have historically been good: over the past decade Hungarian governments have committed themselves to developing the relationship. This trend was further confirmed after the global economic crisis of 2008, when Hungary started looking for new opportunities in its recovery from recession. The ""Eastern opening"" policy was initiated after the crisis and partly because of it. Officially, this policy puts more emphasis on further developing Chinese-Hungarian relations than was previously the case, including increasing trade and investment. However, the outcomes of the policy -- such as the construction of the Budapest-Belgrade railway line -- can be evaluated in different ways. [ABSTRACT FROM AUTHOR] Copyright of International Issues & Slovak Foreign Policy Affairs is the property of Research Center of the Slovak Foreign Policy Association and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
"Brazil, China, US: a triangular relation?","GUILHON-ALBUQUERQUE, JOSÉ-AUGUSTO",Revista Brasileira de Política Internacional,2014 Special Edition,Instituto Brasileiro de Relacoes Internacionais,"INTERNATIONAL economic relations; CHINA-United States relations; BRAZIL -- Foreign relations -- United States; UNITED States -- Foreign economic relations; BRAZIL -- Politics & government -- 2003-; LULA, 1945-; ROUSSEFF, Dilma, 1947-",Brazilian Foreign Policy; global power transition; strategic partnership; parceria estratégica; Política Externa Brasileira; transição de poder global,"This article is divided in three sections. The first one explores the so-called ""strategic partnership"" between Brazil and China. In the second section we shall examine how US-China relations in the global system could affect both Brazil-US, and Brazil-China bilateral relations. A final section presents some recommendations for Brazil strategic orientations regarding the current systemic transition in the allotment of global power. (English) [ABSTRACT FROM AUTHOR] Este artigo é dividido em três seções. A primeira explora a chamada ""parceria estratégia"" entre China e Brasil. Na segunda seção examina-se como as relações EUA-China no sistema global podem afetar as relações bilaterais entre Brasil-EUA e Brasil-China. A última seção apresenta recomendações acerca das orientações estratégicas do Brasil com relação ao atual sistema de transição de distribuição de poder global. (Portuguese) [ABSTRACT FROM AUTHOR] Copyright of Revista Brasileira de Política Internacional is the property of Instituto Brasileiro de Relacoes Internacionais and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
"Brazil, East Asia, and the Shaping of World Politics.","UEHARA, Alexandre; CASARÕES, Guilherme",Perceptions: Journal of International Affairs,Spring2013,Republic of Turkey Ministry of Foreign Affairs Center for Strategic Research,WORLD politics; INTERNATIONAL relations; INTERNATIONAL economic relations; POLITICAL science; EAST Asia; BRAZIL; INVESTMENTS,Brazil; East Asia; foreign policy; Japan; People's Republic of China; South Korea; trade relations,"In this article, we analyse the relationship between Brazil and East Asian countries- Japan, China, South Korea and North Korea. Even though most of these bilateral contacts are not new, they have been taken to a whole new level in the last two decades. While trade and investments have been the main element in these relations, they have assumed, especially under Brazilian President Lula da Silva, an important political dimension. Our hypothesis is that stronger ties between Brazil and East Asia, however difficult they will be to achieve, will become paramount in shaping a new global order, inasmuch as they may lead to a growing relevance of these countries in international politics. From a Brazilian perspective, East Asia may help the country attain its main foreign policy goals in the 21st century. [ABSTRACT FROM AUTHOR] Copyright of Perceptions: Journal of International Affairs is the property of Republic of Turkey Ministry of Foreign Affairs Center for Strategic Research and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Brazil's strategic partnerships: an assessment of the Lula era (2003-2010).,"CARLOS LESSA, ANTÔNIO",Revista Brasileira de Política Internacional,jul2010 supplement,Instituto Brasileiro de Relacoes Internacionais,"INTERNATIONAL relations; INTERNATIONAL economic relations; INTERNATIONAL trade; ECONOMIC development; COMMERCIAL policy; DIPLOMACY; WORLD politics; BRAZIL; STRATEGIC alliances (Business); BRAZIL -- Politics & government -- 2003-; LULA, 1945-",bilateral partnerships; Brazilian foreign policy; strategic partnerships; parcerias bilaterais; parcerias estratégicas; política externa brasileira,"This article examines the priority bilateral relations of Brazil, named ""strategic partnerships"", both because of their tradition and historical relevance and due to the existence of political and economic cooperation projects. An assessment of these relationships, especially under Lula's administration, is made in this work, bearing in mind the concept of ""strategic partnerships"" and its development in Brazilian foreign policy. There will be considered partnerships with the US; Argentina; Japan; China; India; South Africa and the European Union. In the article, the meaning of the increase in these relationships is interpreted on the grounds of its significance to the international insertion strategy of Brazil. (English) [ABSTRACT FROM AUTHOR] No trabalho são examinados os relacionamentos bilaterais prioritários do Brasil, que receberam a denominação de ""parcerias estratégicas"", tanto por causa da sua tradição e relevância histórica, quanto por causa da existência de projetos de cooperação política e econômica. A partir da elaboração do conceito de ""parcerias estratégicas"", e de como ela se construiu na política externa brasileira, neste trabalho se propõe um balanço desses relacionamentos especialmente durante a administração Lula da Silva (2003-2010). São examinadas as parcerias com os Estados Unidos, Argentina, Japão, China, Índia, África do Sul e União Européia. Propõe-se uma interpretação sobre o significado que o incremento desses vínculos possui para a estratégia de inserção internacional do País. (Portuguese) [ABSTRACT FROM AUTHOR] Copyright of Revista Brasileira de Política Internacional is the property of Instituto Brasileiro de Relacoes Internacionais and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
BRIC as a New Form of Multilateral Diplomacy.,,"International Affairs: A Russian Journal of World Politics, Diplomacy & International Relations",2010,East View Information Services,"INTERNATIONAL relations; INTERNATIONAL organization; RUSSIA; BRAZIL; INDIA; CHINA; KADYSHEV, L.; KOSOLAPOV, N.",2009; Brazil; BRIC; BRIC summit meeting; China; Ekaterinburg; Goldman Sachs; India; June 16; Russia,"This article presents an analysis of the international organization formed in 2001 between Brazil, Russia, India, and China and referred to as BRIC. Several Russian leaders presented their analyses of BRIC at a meeting organized by the Moscow State Institute of International Relations of the Russian Ministry of Foreign Affairs. Participants included A. Orlov of the Institute of International Studies, L. Kadyshev of the Foreign Policy Planning Department of the Ministry of Foreign Affairs of the Russian Federation, and N. Kosolapov of the Department for International Policy Studies of the Russian Academy of Sciences."
Bridging the divide between parent states and secessionist entities: a new perspective for conflict management?,"Berg, Eiki",Space & Polity,18-Apr,Taylor & Francis Ltd,CONFLICT management; AUTONOMY & independence movements; BORDER security; DE facto doctrine; INTERNATIONAL relations,bordering practices; conflict management; de facto states; borders; Secessionist conflicts,"This paper departs from the contested nature of the border that separates each side in secessionist conflict - the parent state considers this as an internal administrative line; the de facto state, conversely, sees this as an international border. The argument made builds upon the theoretical aspects of the bordering practices in the current literature, and then examines three cross-border cases - Mainland China-Taiwan, Cyprus-Northern Cyprus and Moldova-Transnistria, to demonstrate different patterns of cross-border interactions and their achieved outcomes. It questions why border-crossing practices have either brought about normalization in degrees, or with a questionable value? This paper makes the conclusion that although border-crossing practices have normalized relations between adversaries, they have also simultaneously brought along self-perpetuating separation as most of the divisions still persist today. Redefining borders and facilitating cross-border interactions has only had a limited contribution to conflict management. [ABSTRACT FROM AUTHOR] Copyright of Space & Polity is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Briefing Rumours and realities of Chinese agricultural engagement in Mozambique.,"Brautigam, Deborah; Ekman, Sigrid-Marianella Stensrud",African Affairs,12-Jul,Oxford University Press / USA,INTERNATIONAL economic relations -- History; INTERNATIONAL relations; AFRICA; MOZAMBIQUE; CHINA; AGRICULTURE; CHINESE; REAL property acquisition; CONSUMERS; FOOD exports & imports; RICE exports & imports; CHINESE investments; CHINA -- Foreign economic relations; AFRICA-China relations; TWENTY-first century,,"The article discusses the Chinese's acquisition of land to be used for agricultural purposes in Mozambique from the mid 2000s through 2012. Chinese consumption of Mozambique food exports, including China's importation of rice and the country's removal of tariffs on imports from Mozambique, is discussed. An overview of the economic relations between the Chinese and Mozambique governments, including the former's pledge to modernize latter's agriculture and in regard to Chinese investments in Mozambique, is provided."
Bringing ‘indigenous’ ownership back: Chinese presence and the Citizen Economic Empowerment Commission in Zambia.,"Kragelund, Peter",Journal of Modern African Studies,12-Sep,Cambridge University Press,GOVERNMENT ownership; FOREIGN investments; INTERNATIONAL economic relations; INCOME distribution; ZAMBIA; CHINA; ZAMBIA -- Social conditions -- 1964-; ZAMBIA -- Economic conditions -- 1964-; CHINA -- Foreign economic relations,,"African economies are currently experiencing an upsurge in foreign ownership of key parts of their economies. This, however, is not new, and in the wake of independence several African countries pursued indigenisation policies to bring ownership back to their own citizens. Now indigenisation policies thrive again, this time disguised in terms such as ‘empowerment’, but just as politicised as in the 1970s. Zambia is at the heart of this development. In the light of liberalisation, booming commodity prices and the increasing importance of Chinese investors, this article seeks to further our understanding of how processes of exclusion interact with domestic politics in Zambia. It argues that the Citizens Economic Empowerment Commission, a new institution to bring ownership back to Zambians, builds on a long tradition of nationalist policies in Zambia, while its actual work is strictly related to the critique of the growing foreign dominance over the economy, and in particular of the upsurge in Chinese investments. [ABSTRACT FROM PUBLISHER] Copyright of Journal of Modern African Studies is the property of Cambridge University Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
BRUNEI DARUSSALAM Consolidating the Foundations of its Future?,"Roberts, Christopher",Southeast Asian Affairs,2011,ISEAS- Yusof Ishak Institute,"ECONOMIC development; INTERNATIONAL relations; INTERNATIONAL economic relations; PETROLEUM industry; NATIONAL security; BRUNEI; ASEAN; BRUNEI -- Politics & government; HASSANAL Bolkiah Mu'izzaddin Waddaulah, Haji, Sultan of Brunei, 1946-",,"The article focuses on the economic and political development of Brunei Darussalam in Southeast Asia. Topics include economic development and success related to the oil and gas industry, political reforms in legislation and integration of Chinese citizens, and national security concerns and foreign relations with nations such as Malaysia and the ASEAN (Association of Southeast Asian Nations)."
Building a Black Bridge: China's Interaction with African-American Activists during the Cold War.,"Li, Hongshan",Journal of Cold War Studies,Summer2018,MIT Press,INTERNATIONAL relations; AFRICAN American political activists; EQUALITY; COLD War & politics; CHINA -- Foreign relations,,"This article examines the interactions between the People's Republic of China (PRC) and African-American activists during the Cold War. Relying mostly on archival records and personal documents in English as well as Chinese, the article shows that the construction of the new ""black bridge"" was made possible because of the PRC's determination to achieve its policy objectives, the African-American activists' needs in fighting for racial equality, and the U.S. government's strict ban on travel to China. Both the PRC and the black activists were new to these transnational interactions, and they worked together in such an unprecedented manner that they redefined the nature and function of Sino-American cultural relations. The black bridge facilitated a limited flow of people and information but also carried misinformation that eventually led to greater misunderstanding and fiercer confrontation. The bridge began to fade in the late 1960s and early 1970s as Beijing was forced to readjust its policy toward the United States, which soon lifted its ban on travel to the PRC. [ABSTRACT FROM AUTHOR] Copyright of Journal of Cold War Studies is the property of MIT Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Building Cooperation between the BRICS and Leading Industrialized States.,"Luckhurst, Jonathan",Latin American Policy,13-Dec,Wiley-Blackwell,COOPERATION; INTERNATIONAL economic relations; INTERNATIONAL cooperation; BRICS countries; GROUP of Twenty,BRICS; China; complex interdependence; currency wars; G20; imagined community; industrialized states; Jim O'Neill; trade,"This article examines relations between the BRICS and leading industrialized states. It starts by analyzing the former's mutual relations, focusing on how the ideational construct presented by Jim O'Neill in his ' BRIC hypothesis' became formalized as a leader-level diplomatic group at a summit in Yekaterinburg, Russia, in 2009. I evaluate how the BRICS have influenced international issues and whether 'cooperation' or 'conflict' characterizes their relations with key industrialized states, concluding that there has been greater multilateral cooperation since 2008, especially through international forums such as the G20. The BRICS partnership is one of unequals, significant for international economic relations primarily due to China. This has had important consequences as the Chinese government has prioritized economic cooperation with leading industrialized states. Influential countries can continue to benefit by enhancing multilateral ties in what are often nonzero-sum situations. (English) [ABSTRACT FROM AUTHOR] Este artículo examina las relaciones entre los BRICS y los principales estados industrializados. Empieza por analizar las relaciones de los primeros, enfocándose en cómo la construcción ideacional presentado por Jim O'Neill en su 'hipótesis de los BRIC' se formalizó como un grupo diplomático con nivel de liderazgo en una cumbre en Ekaterimburgo, Rusia, en 2009. Evalúo cómo los BRICS han influido en asuntos internacionales y si su relación con los principales estados industrializados es caracterizado por la 'cooperación' o el 'conflicto', para concluir que ha habido más cooperación multilateral desde 2008, sobre todo mediante foros internacionales como el G20. La relación de los BRICS es de desiguales, lo que es significante para las relaciones económicas internacionales, debido en gran parte a China. Esto ha tenido consecuencias importantes ya que el gobierno chino ha dado prioridad a la cooperación económica con los principales estados industrializados. Los países influyentes pueden seguir beneficiándose al fortalecer sus lazos multilaterales en lo que muchas veces son situaciones de suma non-cero. (Spanish) [ABSTRACT FROM AUTHOR] Copyright of Latin American Policy is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Bureaucratic Politics and Chinese Foreign Policy-making.,"Qingmin, Zhang",Chinese Journal of International Politics,Winter2016,Oxford University Press / USA,BUREAUCRACY; INTERNATIONAL relations; POLITICAL doctrines; COMMUNISM; DEMOCRACY; CHINA; CHINA -- Foreign relations -- 1976-,,"This article tries to bridge the bureaucratic politics model of foreign policy analysis (FPA), which is based on American foreign policy practice, and Chinese foreign policy studies. It traces the development and discusses the Chinese features of the bureaucratic politics model, and analyses the evolving bureaucratic political process of Chinese foreign policy-making. Its conclusion is that the foreign policy-making process of the People's Republic of China (PRC) has progressed from ideology-based 'line battles' to personal relationship (guanxi)-based in-party competition, and from factional competition under one paramount leader to government politics wherein many participants vie for different policies. As China integrates more deeply into the international community, and communist ideology loses its political validity in Chinese politics, bureaucratic politics in China exhibits more prominent Chinese cultural features, and at the same time shares greater similarities with the bureaucratic politics in western democratic countries. Therefore, to avoid rigidity, attention must be paid to variances in bureaucratic politics as applied in the Chinese context. Bridging FPA theory and Chinese foreign studies is hence both viable and beneficial for the construction of FPA theories beyond the United States and for China's foreign policy research. [ABSTRACT FROM AUTHOR] Copyright of Chinese Journal of International Politics is the property of Oxford University Press / USA and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
