Article Title,Author,Journal Title,Publisher,Subjects,Keywords,text
"Chinese migrant wives in Taiwan: claiming entitlements, resisting inequality, and rejecting citizenship.","Liu, Shan-Jan Sarah",International Feminist Journal of Politics,Taylor & Francis Ltd,MARRIAGE; DEMOGRAPHY; CITIZENSHIP; IMMIGRANTS; WIVES,China; citizenship; marriage intersectionality; Migration; Taiwan,"A considerable number of Chinese women have migrated to Taiwan through marriage over the last two decades. Although the demographics of these marriage migrants have transformed over the years, a misunderstanding still exists as migrant wives are seen as commodities and gaining citizen status is seen as their ultimate goal. Using in-depth interviews, this research takes a bottom-up approach by allowing Chinese migrant women in Taiwan to define and interpret their own citizenship. It explains how they negotiate the politics of citizenship as they confront harsher immigration restrictions than immigrants of other origins because of their Chinese identity. This paper suggests that immigrants' intersectional identities shape their conceptualization of Taiwanese citizenship, although their agency is limited. My findings illustrate that some Chinese migrant wives embrace citizenship entitlements while others' experiences with citizenship differ depending on their positionality in both the private and the public. My findings also show that some migrant wives actively reject Taiwanese citizenship, challenging the myth that all Chinese immigrants desire Taiwanese citizenship. This study contributes to citizenship and migration studies using a feminist, intersectional approach and raises implications for the degree to which migrant wives have agency in constructing their citizenship."
"Chinese Nationalism: Myths, Reality, and Security Implications.","Giannakos, Symeon",Nationalities Papers,Cambridge University Press,"NATIONALISM; PATRIOTISM; CHINESE Communist Party; CHINA; PRIMORDIALISM; CHINA -- Foreign relations; MAO, Zedong, 1893-1976; LIU, Xiaobo, 1955-2017",Chinese primordialism; Chinese territorial nationalism; nationalism; patriotism; statism,"China's most prominent dissident, the late Liu Xiaobo, criticized the Chinese Communist Party's efforts ""to promote what he considered a toxic mixture of traditional culture and modern patriotism."" He worried more about ""a mentality of world domination"" characterized by a ""thuggish outlook."" Quoted in Orville Schell and John Delury's (2013) book Wealth and Power, this statement reveals the culmination of some 150 years of nation-building, which now encapsulates what is probably the strongest and potentially most explosive primordial nationalism in the region since Imperial Japan. This article examines the sources of Chinese nationalism and gauges the extent to which Chinese nationalism contributes to cooperation or confrontation in China's foreign relations."
Chinese perspectives on the Belt and Road Initiative.,"Dunford, Michael; Liu, Weidong","Cambridge Journal of Regions, Economy & Society",Oxford University Press / USA,INTERNATIONAL finance; INTERNATIONAL cooperation; ROADS -- China; BELTWAYS; SILK Road; FINANCIAL instruments,Belt and Road Initiative; Community of Shared Future; connectivity; harmony; international finance; Silk Road,"China's Belt and Road Initiative (BRI) is a call for an open and inclusive model of sustainable international economic, political and cultural cooperation and development under the guiding principles of the peaceful coexistence of sovereign states, achieved through multiple types of increased connectivity and financed by new multilateral financial instruments. This article outlines the evolution of the BRI, its relationship to changing conditions in China and the world, and the ideas and thinking that underly it as expressed in official documents and speeches by President Xi Jinping. The relationships between individual and collective interests, the Silk Road Spirit and Chinese concepts of harmony and ""different but equal"" in a Community of Shared Future and mutual benefit are examined, along with some of the political and economic challenges associated with the coexistence of competing values and social models."
Chinese Perspectives on the International Rule of Law: Law and Politics in the One-Party State.,"Potter, Pitman B.",China Journal,University of Chicago Press,"RULE of law; INTERNATIONAL law; NONFICTION; CHINESE Perspectives on the International Rule of Law: Law & Politics in the One-Party State (Book); BURNAY, Matthieu",,
Chinese Powers: A Critical Appreciation of Dingxin Zhao's The Confucian-Legalist State.,"Lachmann, Richard",Chinese Sociological Review,Taylor & Francis Ltd,"POWER (Social sciences); SOCIAL development; CHINESE history; CONFUCIAN-Legalist State, The (Book); DINGXIN Zhao",,"Dingxin Zhao's The Confucian-Legalist State offers an elegant and clear overview of Chinese social development over more than two thousand years, identifying the ways in which the Chinese polity differs from those of Europe and explaining the dynamics that produced a civilian-led government that effectively marginalized military elites to an extent no other large-scale society achieved until the last couple of hundred years. This essay explains how Zhao's historical analysis both clarifies Chinese social developments over two thousand years and contributes to developing state theory."
Chinese Public Theology: Generational Shifts and Confucian Imagination in Chinese Christianity.,"Madsen, Richard",China Journal,University of Chicago Press,"CHRISTIANITY & culture; CHINA -- Church history; NONFICTION; CHINESE Public Theology: Generational Shifts & Confucian Imagination in Chinese Christianity (Book); CHOW, Alexander",,
Chinese Society 2018: Stabilising Development Amid Uncertainties.,"ZHAO, Litao",East Asian Policy,World Scientific Publishing Company,INTERNATIONAL trade disputes; FEDERAL government; CHINA-United States relations; CONSUMER credit; CHINESE economic assistance,,"China had a bumpy year in 2018. The central government had to make a midyear adjustment with renewed emphasis on stabilising the economy and society prompted largely by the US-China trade war and a slew of domestic factors, such as the grieving middle class increasingly burdened by high living costs and growing household debts. By all signs, the year 2019 will be more difficult and a serious test is forthcoming for the Xi leadership."
Chinese Society amid Mao's Great Proletarian Cultural Revolution: The Roots and Nature of the Tragedy.,"Radchenko, Sergey; Torigian, Joseph; Yordanov, Radoslav; Dikötter, Frank",Journal of Cold War Studies,MIT Press,"CULTURAL Revolution, China, 1966-1969; NONFICTION; CULTURAL Revolution: A People's History 1962-1976, The (Book); DIKOTTER, Frank; MAO, Zedong, 1893-1976",,
"Chinese strategic culture and ""Tao Te Ching"".","Sergeevich, Kocherov Oleg",International Relations (24540641),NB-Media Ltd.,ANCIENT philosophy; POLITICAL philosophy; TAOISM; WORLD politics; NATIONAL liberation movements; PERCEPTION (Philosophy); CHINESE philosophy,agency problem; chinese internatonal strategy; cultural topography; Daoism; international relations philosophy; just war theory; paradigmatic analysis; popular strategic culture; strategic culture theory; wu wei,"The subject of this research is the Tao political philosophy of the ancient Chinese text of ""Tao Te Ching"" as a source of Chinese strategy. The author expounds three aspects of the Tao philosophy: administrative (perception of ideal form of government and political legitimacy), military-diplomatic (preferred types of interaction with other actors and stance on war as a political instrument), and geopolitical-geocultural (perception of culture in its place in the world and correlation of cultural mission with beingness of other actors withing the framework of certain world politics configuration). The scientific novelty of this research consists in a complex analysis of the ""Tao Te Ching"" texts as a potential paradigm of Chinese strategic culture. ""Tao Te Ching"" preaches noninvolvement as a method of government and criteria of political legitimacy, defensive pacifism and world politics model of global community of smaller states. A conclusion is made on the importance of study of the influence of Tao paradigm upon the strategy of Chinese national movements for solution of the problem of political strategic agency."
Chinese Strategy for De-radicalization.,"Zhou, Zunyou",Terrorism & Political Violence,Taylor & Francis Ltd,RADICALISM; TERRORISM; IMPRISONMENT; SOCIAL services; SOCIAL conditions in China,China; community engagement; de-radicalization; religious extremism; terrorism; Uyghur; Xinjiang,"China is fighting a tough battle against separatist terrorism perpetrated by militant Muslim Uyghurs in the far-western region of Xinjiang. De-radicalization is one of the policies the authorities in Xinjiang have recently taken to address the upsurge in terrorist violence. This paper consists of five parts. The first part deals with the background against which the de-radicalization strategy was conceived and developed. The second part discusses several major approaches to the strategy such as ""five keys,"" ""four prongs,"" ""three contingents,"" ""two hands,"" and ""one rule."" The third part presents custodial, post-imprisonment, and social programs for targeting three groups of people: imprisoned radicals, released radicals, as well as those who are radicalized but not prosecuted. The fourth part describes programs for engaging communities in order to win over politically reliable people from civil society for support in de-radicalization. The last part draws a conclusion regarding the characteristics of, effectiveness of, controversies over, and future of the Chinese de-radicalization campaign."
Chinese Surplus: Biopolitical Aesthetics and the Medically Commodified Body.,"Rojas, Carlos",China Information,"Sage Publications, Ltd.","MIGRANT labor; WAREHOUSES; NONFICTION; CHINESE Surplus: Biopolitical Aesthetics & the Medically Commodified Body (Book); HEINRICH, Ari Larissa",,
Chinese trade price and Yuan's valuation.,"Gao, Yichen; Gan, Li; Li, Qi",World Economy,Wiley-Blackwell,FOREIGN exchange rates; FINANCIAL crises; CHINA; WORLD Trade Organization; PURCHASING power parity; RENMINBI; VALUATION,Chinese yuan; currency valuation; exchange rate; external trade; purchasing power parity,"This paper studies how the major economic events would have affected Chinese yuan's nominal exchange rate against US dollar from 1989 to 2013. The traditional average treatment effect estimation methods cannot be used to consistently estimate yuan's pegged exchange rate. We develop a new estimation strategy by combining a novel panel data method (proposed by Hisao, Ching and Wan) and the purchasing power parity theory. Based on this new estimation strategy, we find that during the period of pegging to US dollar, Chinese yuan were undervalued. Before the 1997 Asian Financial Crisis, the pegged exchange rate regime starting from January 1994 made the yuan undervalued by 2.62%. China's accession to WTO caused yuan undervalued by 36.60%. After the reform of Chinese exchange rate policy in July 2005, the undervaluation of the yuan was reduced to only 0.76%. Yuan was undervalued again by 20.43% because of 2008 China's economy stimulus package. The policy reform in June 2010 made yuan overvalued by 14.40%. We conclude that Chinese fixed exchange rate policy indeed undervalued the yuan, especially after its accession to WTO. The recent reforms of Chinese exchange rate policy made progresses in re‐evaluating the yuan."
Chinese views of global economic governance.,"Zeng, Jinghan",Third World Quarterly,Taylor & Francis Ltd,"INTERNATIONAL economic relations; INTERNATIONAL cooperation; NONGOVERNMENTAL organizations; CIVIL society; CHINA; GROUP of Twenty; INTERNATIONAL Monetary Fund; ECONOMIC conditions in China, 2000-; GLOBAL Financial Crisis, 2008-2009",China; China's rise; global economic governance; global governance,"China's rise and America's global retreat have made China's role in global governance more important than ever before. By analysing Chinese (mainly academic) literature, this article studies contemporary Chinese views of global economic governance. It finds that the 2008 financial crisis is a notable point of the Chinese discourse. In addition, dialogue platforms – the G20 in particular – rather than key institutions of global economic governance such as International Monetary Fund (IMF), World Bank and Word Trade Organization (WTO) win overwhelming attention in the Chinese discourse. Chinese views of global economic governance also highly value the role of the state, while paying less attention to Non Governmental Organisations (NGO) and civil society. Overall, this article highlights a diverse, shifting and sometimes contradictory Chinese discourse on global economic governance, which helps to develop a more accurate understanding of China's ambition in global economic governance."
Chinese views of the United States: evidence from Weibo.,"Guan, Yichen; Tingley, Dustin; Romney, David; Jamal, Amaney; Keohane, Robert",International Relations of the Asia-Pacific,Oxford University Press / USA,INTERNATIONAL relations; VIETNAM; UNITED States; AMBIVALENCE; SOCIAL media; CHINESE,,"We study Chinese attitudes toward the United States, and secondarily toward Japan, Russia, and Vietnam, by analyzing social media discourse on the Chinese social media site, Weibo. We focus separately on a general analysis of attitudes and on Chinese responses to specific international events involving the United States. In general, we find that Chinese netizens are much more interested in US politics than US society. Their views of the United States are characterized by deep ambivalence; they have remarkably favorable attitudes toward many aspects of US influence, whether economic, political, intellectual, or cultural. Attitudes toward the United States become negative when the focus turns to US foreign policy – actions that Chinese netizens view as antithetical to Chinese interests. On the contrary, attitudes toward Japan, Russia, and Vietnam vary a great deal from one another. The contrast between these differentiated Chinese views toward the United States and other countries, on the one hand, and the predominant anti-Americanism in the Middle East, on the other, is striking."
Chinese–Russian economic relations: developing the infrastructure of a multipolar global political economy?,"Silvius, Ray",International Politics,Palgrave Macmillan Ltd.,ECONOMIC development; POLITICAL economic analysis; CHINA-Russia relations,China; Global political economy; Multipolarity; Russia,"This article situates Russian–Chinese relations within a wider emerging infrastructure of multipolarity to consider how such relations signal a complex and multifaceted 'decentering' of the global political economy beyond American-centered global governance architecture. Russian–Chinese economic cooperation and economic multipolarity have been some time in the making; however, they are demonstrating new institutional, governance, and reciprocal 'embeddedness.' The processes by which such embeddedness has occurred provide the context within which geopolitical and geoeconomic crises are mediated, not the reverse. This article traces emerging economic relations between Russia and China by moving beyond abstract and generalized pronouncements of multipolarity to consider the extent to which such multipolarity is realized via contemporary Russian–Chinese economic relations, and how such relations are constitutive of a post-hegemonic global political economy. The increased complexity of Russian–Chinese economic relations—means that any resultant effects on polarity cannot simply be deduced from each state's strategic preferences regarding polarity."
"Chino: Anti-Chinese Racism in Mexico, 1880–1940.","Gao, Jian",Journal of Latin American Studies,Cambridge University Press,"RACISM; HISTORY; CHINESE; NONFICTION; CHINO: Anti-Chinese Racism in Mexico 1880-1940 (Book); CHANG, Jason Oliver",,
Christian New Media in China: The Gospel via WeChat.,JINRUI XI,Asian Survey,University of California Press,,China; Christianity; religion; state-church relations; WeChat,"WeChat provides an unprecedented and vibrant platform for Christians in China to publicize their faith on a scale never seen before, thus serving as a powerful vehicle for transporting information between the church, the society, and the state, mitigating the prevailing information problem that has long handicapped these relations."
"Christianity, Confucianism, and modern Chinese Revolution: by Wolfgang Kubin, Liu Xiaofeng, Wang Jinmin, Qi Liang, Hong Kong, Institute of Sino-Christian Studies, 1999,192 pp., 8.32 USD (paperback), ISBN 962-8322-17-6.","Liang, Chia-Yu",Political Theology,Taylor & Francis Ltd,"CHRISTIANITY; CONFUCIANISM; CHINESE Revolution, 1911-1912; NONFICTION; CHRISTIANITY, Confucianism & Modern Chinese Revolution (Book); KUBIN, Wolfgang, 1945-; QI Liang",,
Citizens and Condemnation: Strategic Uses of International Human Rights Pressure in Authoritarian States.,"Gruffydd-Jones, Jamie J.",Comparative Political Studies,Sage Publications Inc.,HUMAN rights; INTERNATIONAL relations; HUMAN rights violations; WOMEN'S rights; CITIZEN attitudes,China; human rights; intergovernmental relations,"Governments with strict control over the information that their citizens hear from foreign sources are regular targets of human rights pressure, but we know little about how this information matters in the domestic realm. I argue that authoritarian regimes strategically pass on certain types of external pressure to their public to ""internationalize"" human rights violations, making citizens view human rights in terms of defending their nation internationally rather than in terms of individual violations, and making them more likely to be satisfied with their government's behavior. I find strong support for this model through statistical analysis of Chinese state media reports of external human rights pressure and a survey experiment on Chinese citizens' responses to pressure on women's rights. This analysis demonstrates that authoritarian regimes may be able to manipulate international human rights diplomacy to help them retain the support of their population while suppressing their human rights."
"Citizens in motion: emigration, immigration, and re-migration across China's borders: by Elaine Lynn-Ee Ho, Stanford, Stanford University Press, 2019, 184 pp., US$65.00 (cloth), ISBN: 978-1-503-60666-1, (digital), ISBN: 978-1-503-60746-0.","Faria, Caroline; Hsiao, Devon",Space & Polity,Taylor & Francis Ltd,"EMIGRATION & immigration; CITIZENS; UNIVERSITY presses; MOTION; HUMAN body; TEXTILES; CITIZENS in Motion: Emigration, Immigration & Re-migration Across China's Borders (Book)",,"Ho uses the example of Chinese Canadians returning to China to illustrate this - not only is a return to China a return to their natal land, but they are also now part of the Canadian diaspora too. This granular depth would give us richer and more complex understanding of the impacts of state migration policy on their lives, but also how ordinary people conform to, challenge, and rework the state through their migrations and their immobilities. This mirrors Ho's work to situate the politics of migration in a trans-territorial context, analyzing ""citizenship constellations"" across different migration sites, but I always i through the very grounded lives and stories of those migrants."
Citizen-to-citizen connectivity and soft power: The appropriation of subcultures in 'little freshness' across the Taiwan Strait.,"Lim, Song Hwee",China Information,"Sage Publications, Ltd.",SOFT power (Social sciences); SUBCULTURES; TAIWAN Strait,'little freshness'; citizen-to-citizen; connectivity; soft power; structure of feeling; subcultures; Taiwan Strait; youth,"This article takes as its object of analysis the term 'little freshness' (xiao qingxin 小清新), which has been coined to describe a variety of cultural products and phenomena, mostly emanating from Taiwan but circulating across the Taiwan Strait. It argues that little freshness is a manifestation of subcultures that have been initiated, appropriated, and consumed by youths in the region. This citizen-to-citizen connectivity reworks Joseph Nye's notion of soft power by shifting the focus away from state agents and by reversing the direction of soft power flows to claim agency at the sites of reception. The article provides two case studies to demonstrate how an imaginary about Taiwan's cleanness, clearness, and freshness has been projected by the media in the People's Republic of China as a form of discursive construction and by Hong Kong citizens of Taiwan as a desirable destination for emigration. Finally, the article situates the little freshness phenomenon in relation to a propensity towards miniaturization in cultural formation in the region, and suggests that this propensity is inflected in a structure of feeling about generational injustice in the face of neoliberal capitalism."
"City-regionalism as countervailing geopolitical processes: The evolution and dynamics of Yangtze River Delta region, China.","Li, Yi; Jonas, Andrew E.G.",Political Geography,Elsevier B.V.,GOVERNMENT policy; URBAN planning; ECONOMIC reform; NATIONAL unification; BOUNDARIES; REGIONAL economic disparities; CHINA; SHANGHAI (China); DELTAS,China; City-regionalism; Geopolitics; Governance; State internationalization,"In many countries, national governments deploy city-regionalism not simply as a domestic policy tool but also as a geopolitical device enabling the internationalization of state territory and economy. Focusing upon the evolution of Yangtze River Delta (YRD) region in China, this paper offers new insights into the close associations between Chinese city-regionalism and the geopolitical orchestration of national development. Rather than conceived as an inevitable outcome of contemporary globalization processes, the development of YRD region is instead examined against the changing geopolitical dynamics and national objectives of the Chinese Communist Party (CCP) from 1949 to the present day. In the early phase of CCP rule, the development of regional urban centres, such as Shanghai in YRD region, was an instrument of national territorial integration and class unity. Following economic reforms in the 1980s, the formal designation of YRD as a city-region reflected the Chinese state's aspiration for accelerated economic growth and the internationalization of the domestic economy. Now confronted with widening regional inequalities, the Chinese state has greatly expanded YRD region to incorporate peripheral cities and provinces for the sake of regionally coordinated development. Even as YRD transforms into a global city-region, Shanghai seemingly separates itself functionally and discursively from the rest of the region. In departing from contemporary post-Westphalian or hyper-globalist perspectives on the rise of global city-regions in a stateless world, the paper provides a new interpretation of Chinese city-regionalism as a case of countervailing geopolitical processes at work within and beyond national state borders."
Clustering effects on firm exporting with productivity‐enhancing R&D in China.,"Howell, Anthony",World Economy,Wiley-Blackwell,EXPORTS; CHINA; INDUSTRIAL clusters; EXPORTERS,China; exporting; productivity; R&D; regional clusters,"This paper examines the effects of regional clustering on the linkages among R&D, exporting and productivity of Chinese firms. A structural framework is employed using a set of recursive equations that is capable of correcting for most estimation issues related to selection and endogeneity. The main findings reveal that regional clustering brings about relatively trivial direct benefits to exporters after taking into account important sources of firm heterogeneity. Rather, the main benefits of clustering on exporting appear to arise indirectly through investments in innovation and productivity. The main implication of the findings suggests that a better endowed geographical area improves international competitiveness mainly by enhancing the super‐additive effects of investments in technology on productivity, which, in turn, enhances exporting performance."
Commemorating and Othering: a Study of Japanese Public Opinion on Prime Minister Abe's 2013 Yasukuni Pilgrimage.,"Fukuoka, Kazuya",East Asia: An International Quarterly,Springer Nature,"MEMORIALS; YASUKUNI Shrine (Tokyo, Japan); EDITORIAL writing; ABE, Shinzo, 1954-",Abe Shinzo; Commemoration of War Dead; Othering; Public opinion; Yasukuni Shrine,"The Yasukuni Shrine in Tokyo, once the symbolic center of national commemoration of war dead in pre-War years, is now regarded as one of the critical conservative symbols of Japan's imperial past. While the Yasukuni study is expanding, not much has been explored on the nature of public reactions to the controversy. This study explores Prime Minister Abe Shinzo's Yasukuni pilgrimage in 2013 and delves into Japanese public opinion on and around it. Overall, the Japanese public is relatively composed and prefers cautious approach; yet, at the same time, more people now support the official Yasukuni visits in general. This study also reveals discernible, yet nuanced, disagreements among PM Abe's Yasukuni policies, the public perceptions of them, and the narratives of major newspaper editorials on this issue. The coverage of public opinion polls by the major national newspapers uncovers the public opinion on (1) the official Yasukuni visit, (2) the idea of building an alternative non-religious national memorial, and (3) the Japanese public's decreasing sense of affinity toward China and South Korea (and their implications on understanding the Yasukuni issue and the sense of nation). The study will also examine the newspaper narratives on the controversy, which should help exemplify the overall public mood over the years."
COMMENT: DOES THE ESTABLISHMENT OF THE MINISTRY OF ENVIRONMENTAL PROTECTION MATTER FOR ADDRESSING CHINA'S POLLUTION PROBLEMS? EMPIRICAL EVIDENCE FROM LISTED COMPANIES.,"Seligsohn, Deborah",Journal of East Asian Studies,Cambridge University Press,ENVIRONMENTAL protection; EXECUTIVE departments; CHINA; INDUSTRIAL pollution; POLLUTION & economics; CHINA -- Politics & government,,
"Comments on the ""Open Letter to the President and Congress on China Policy"".","Gurtov, Mel",Asian Perspective,Johns Hopkins University Press,,,
Communicative integration in nation‐states and empires.,"Tolz, Vera",Nations & Nationalism,Wiley-Blackwell,"LANGUAGE policy; IMPERIALISM -- History; CHINA -- Politics & government -- 20th century; SOVIET Union -- Politics & government; RUSSIA -- Politics & government -- 1801-1917; NATION Building: Why Some Countries Come Together While Others Fall Apart (Book); WIMMER, Andreas",,"The article discusses the book ""Nation Building: Why Some Countries Come Together While Others Fall Apart,"" by Andreas Wimmer, focusing on linguistic integration. Topics include the role of the Han language in Chinese nation building, the ethnic and linguistic heterogeneity of the Russian Empire and the Soviet Union, and the impacts of Soviet and Russian linguistic policies in relation to the Russian language and imperialism."
Community Elites and Collective Action: The State and the Starved during the Chinese Famine (1959–61).,"Cai, Yongshun",Politics & Society,Sage Publications Inc.,,China; famine; peasant resistance; protest leaders,"Tens of millions of peasants died during the Great Famine in China from 1959 to 1961. Numerous Chinese peasants remained silent during the famine while others staged resistance. This article explores how peasant resistance was possible in a communist regime and how the government contained such resistance. It finds that resistance was considerably affected by the availability of protest leaders. Chinese peasants were organized into rural collectives controlled by the party-state through local cadres. Sympathetic rural cadres played crucial roles in facilitating peasant resistance. However, government control generally deprived rural communities of protest leaders. When collective resistance did occur, the government contained its influence through accommodation and repression. Effective control rendered the government insensitive to the famine suffered by the vast rural population of the country."
Community-based welfare targeting and political elite capture: Evidence from rural China.,"Han, Huawei; Gao, Qin",World Development,Elsevier B.V.,"PUBLIC welfare; COMMUNITIES; POLITICAL elites; POVERTY; VILLAGES; INCOME; RURAL population; CHINA; ECONOMIC conditions in China, 2000-",Income poverty; Multidimensional poverty; Political elite capture; Rural China; Welfare targeting,"Highlights • We use China Household Income Project (CHIP) 2013 data to systematically evaluate rural Dibao's targeting performance. • Rural Dibao's targeting performance was better based on multidimensional poverty than based on income poverty. • Dibao's intra-village targeting accounted for more of its targeting performance than inter-village targeting. • Political elite capture effects existed in Dibao's community-based targeting. • We find heterogeneous political elite capture effects, with those from close relatives larger than from household members. Abstract Using nationally representative rural household survey data from the 2013 China Household Income Project (CHIP) and decomposable targeting differential measures, this article systematically evaluates rural Dibao's targeting performance based on both income and multidimensional poverty measures, and investigates the effects of political elite capture in its community-based targeting (CBT) implementation. We found that rural Dibao's targeting performance was quite poor based on income poverty standards. When based on multidimensional poverty, Dibao's targeting performance was better than based on income poverty. Dibao's intra-village targeting accounted for more of its targeting performance than inter-village targeting. We also found political elite capture effects to exist for both Dibao participation and transfer value received. Moreover, the political elite capture effect from close relatives was larger in magnitude than that from household members. Having a household member being a village leader in the village of residence had no significant elite capture effect, whereas having members with a political leader position outside the village of residence or being a non-leader political party member was associated with a greater chance of welfare participation. These findings suggest that targeting errors in developing countries' CBT welfare programs such as China's rural Dibao is still substantial and political elite capture may be one important reason for them."
COMPARATIVE ANALYSIS OF CHINA AND RUSSIA'S POSITIONS ON THE UNIFICATION OF THE KOREAN PENINSULA.,"Huilin, Cao",Perm University Herald. Political Science / Vestnik Permskogo Universiteta. Politologia,Perm University Herald. Political Science,COMPARATIVE studies; HISTORICAL analysis; KOREA; RUSSIA; CHINA; PENINSULAS; GEOGRAPHICAL positions,division of the Korean Peninsula; impact of the unification on China; impact of the unification on Russia; Northeast Asia; standpoint of China; standpoint of Russia; unification of the Korean Peninsula; Северо-Восточная Азия; влияние объединения на Китай; влияние объединения на Россию; объединение Корейского полуострова; позиции Китая; позиции России; раскол Корейского полуострова,"Due to its geography and strategic status, the Korean Peninsula plays an important role in the landscape of Northeast Asia. The problem of a half-century division and unification of the peninsula attracts attention of the countries of Northeast Asia and international forces. Because of the internal affairs and the strategic geographical position of each country, there is a difference of opinions on the unification of the Korean Peninsula. China and Russia are important driving forces to promote the peaceful unification and achievement of peace and development in the Northeast Asia region. The unification will have a significant impact on China, Russia and the entire region. The author analyzes the importance of the strategic position of the Korean Peninsula and the process of its division based on the historical comparative analysis. The paper also considers the effects of the unification of the Korean Peninsula on China and Russia, the same and different positions of China and Russia regarding the unification and presents their views on promoting peace on the Korean Peninsula and stability in Northeast Asia."
"Comparative Institutionalised Bilingualism in Kazan, Russia and Ürümqi, China.","Tsakhirmaa, Sansar",Europe-Asia Studies,Taylor & Francis Ltd,INSTITUTIONALIZED persons; ETHNIC relations; SOCIAL status; TATARSTAN (Russia); BILINGUALISM; ETHNOLOGY,,"Based upon interviews and ethnographic fieldwork conducted in Kazan (Tatarstan, Russia) and Ürümqi (Xinjiang, China), the article proposes an explanatory framework consisting of structural and agential factors to address how and why normative and implemented bilingualism may differ across ethnically based autonomous regions. It argues that higher inter-ethnic integration can boost the capacity of titular elites to bargain with the centre, leading to more formal recognition of the titular language, even if not immediately augmenting its use in daily life; conversely, a more pronounced inter-ethnic divide can serve to sustain more vigorous informal use of the titular language, while at the same time impeding improvement of its formal status."
Comparative Orientalism in Latin American Revolutions: Antichinismo of Mexico and El Salvador.,"Chang, Jason Oliver",Latin American Research Review,Latin American Studies Association,ORIENTALISM; NATIONALISM; POSTCOLONIALISM; RACISM; HEGEMONY,,"Across Latin America, mestizo nationalism became a common response to postcolonial independence, revolt, and revolution in the twentieth century. These different mixed-race nationalisms have been the subject of continuous debate in Latin American studies. The field of Asian American studies offers a different approach that highlights the political and cultural function of anti-Chinese politics beyond their targeting of racialized Chinese subjects. This article examines the anti-Chinese politics and mestizo nationalisms of Mexico and El Salvador to question if and when popular Orientalist racism aided indigenous and peasant consent to state-sponsored mestizo nationalism. This methodology underscores the historical role that ideological formations of Asia and Asians have contributed to the political and cultural life of race in Latin America even when actual populations remained small or nonexistent. By understanding racial formations in a multiracial context I underscore the notion that anti-Chinese racism is not only important in that it discriminated against Chinese, but also that it served non-Chinese Latin Americans remarkably well and helped build an unstable equilibrium of mestizo hegemony."
Comparing income poverty gap and deprivation on social acceptance: A mediation model with interpersonal communication and social support.,"Zhang, Yin; Wong, Hung; Chen, Ji‐Kang; Tang, Vera M. Y.",Social Policy & Administration,Wiley-Blackwell,POVERTY; SOCIAL support; HONG Kong (China) -- Social conditions; SOCIAL acceptance; INTERPERSONAL communication; SOCIAL isolation,deprivation; interpersonal communication; poverty; social acceptance; social support,"In many developed countries or regions, wide income disparities increase the difficulty in reducing poverty. In their day‐to‐day lives, poor people often feel less accepted by the society. The failures in communicating with social groups and receiving social support lead to negative consequences on individual well‐being and higher level of social exclusion. Based on the debate upon alternative approaches to conceptualizing and operationalizing poverty, this study attempts to verify a mediation model with data from a household survey (N = 1,202) in Hong Kong. The results of structural equation modelling reveal that deprivation is a more powerful indicator than income poverty for specifying the negative relations of poverty with interpersonal communication, social support, and social acceptance; the negative impact of deprivation on social acceptance can be reduced by two significant mediators of interpersonal communication and social support. The results are discussed in terms of directions for future research and policy and welfare intervention."
Comparison on predictors of mental health service use among Asian older adults.,"Hong, Seokho",Asian Social Work & Policy Review,Wiley-Blackwell,SOCIAL status; HEALTH of immigrants; MENTAL health of older people; MENTAL health services; HEALTH programs,Asian older adults; Chinese; Filipino; Japanese; Korean; mental health service use; Vietnamese,"Studies have mostly examined mental health service use of older Asian immigrant combining all Asian Americans into one group whereas immigration backgrounds and socioeconomic status of each Asian minority group are different. Therefore, this study aimed to identify predictors of mental health service use within specific ethnic groups among older Asian adults focusing on Chinese, Japanese, Korean, Filipino, and Vietnamese in California. The Behavioral Model for Vulnerable Populations (BMVP) is used to guide the secondary data analysis of a sample of 3,453 older Asian immigrants from the California Health Interview Survey (CHIS). Logistic and linear regression analyses are performed to examine predictors of mental health service use and the frequency of mental health service use, respectively. As results, mental health‐seeking patterns differ by ethnicity within the older Asian immigrant sample, not being married (Korean), higher levels of acculturation (Filipino), lower levels of neighborhood cohesion (Korean and Vietnamese), higher levels of perceived safety (Korean) and lower levels of perceived safety (Vietnamese), higher levels of mental distress (Korean and Filipino), and having perceived need (all) were related to more visits for mental health services. The study findings highlight the necessity of cultural competency services and programs for each Asian ethnicity."
Competing for father's love? The politics of central government agency termination in China.,"Chen, Sicheng; Christensen, Tom; Ma, Liang",Governance,Wiley-Blackwell,FEDERAL government; GOVERNMENT agencies; PRACTICAL politics; CHINA; FATHERS; LOVE,,"It is well known that public agencies are nearly immortal, but what explains their termination? This article argues that apart from conventional antecedents, political salience defined by top leaders largely shapes government agencies' life cycle. In one of the first large‐N analyses of agency termination in a non‐Western authoritarian regime, we used longitudinal data for the central apparatus in China from 1949 to 1976 to test this hypothesis. We specifically used Chairman Mao's written directives to measure political salience and found that agencies that received more directives were less likely to be terminated. In contrast, agencies less attended to the boss were less likely to survive major restructurings. We also found that peripheral agencies (e.g., smaller, lower‐ranking agencies with noncore functions) benefited more from leaders' attention. We compare the results with the existing literature and suggest some theoretical and policy implications."
